review_text,overall,sentiment,sentiment_label,review_length_class,length_label,token_count,category
it seems to be keeping the latex supple and not dried out. exactly what you would expect it to do.,5,positive,2,short,0,20,sports
"this oxo can opener seems to be well made and most of all makes can opening a breeze. i've gone through a lot of can openers and hope this one stays sharp and lasts. it's not dishwasher safe, but is easy to wash by hand with a little soap and water and dry thoroughly. it does not have the made in china stamp on it.",4,positive,2,medium,1,65,home
"i already have some stainless measuring cups. the problem is that when scooping rice and other things out of containers the handles on those measuring cups bend.which is why i got these oxo good grips and they are really nice. they are made of much thicker gauge stainless steel so the handles don't bend. they are quite curvy and flare out at the top instead of the sides being 90 degrees. this makes them easier to fill by pouring since the sloping sides draw whatever you are filling the cup with into a wider opening . it's also easier to pour the contents out of them.the rounded shape also makes for easy cleaning, nothing gets lodged into the creases around the edges at the bottom.they have nice comfortable rubber grips in a bright colors. the numbers aren't printed but actually embedded plastic so they won't rub off after frequent use. the set comes with a rubber coated ring that the cup handles clip into with moderate pressure which enables them to stay together much like a key ring.overall these seem good. much better than my previous set. strong, sturdy and they seem to be a quality product that should last a long time.",4,positive,2,long,2,203,home
"i could not be more impressed. i was highly skeptical as i have been buying bluetooth headsets like crazy trying to find one that worked, and they're all pretty much junk. this thing worked all the way out to the sidewalk, and likely much further, but that's as far as i went. the quality on the other end is very clear. the manual is plain stupid, it looks like they were half way through putting it together when they released it, but on the mac the manual was of course not needed, just plug it in and it worked without any of the driver install nonsense windows requires. btw, i am using it primarily with skype.ok, i have to add something to this review. there's a fatal flaw in this device. a flaw that makes the device near worthless to me now. if the usb cable is unplugged, but the earpiece is left clipped into the holder charger, the battery runs down within hours. obviously a simple diode somewhere would have prevented this, but for me the device now is close to useless.update may 8th 2011. so, 5 years later, the device is seriously failing. the electronics in the device are dying. i am having to constantly remove the battery to get the headset to work, and it's cutting me off in the middle of calls. it also refuses to charge, and discharges when not in use even when the base is connected via usb. it's a pity its failing, and i came looking for a new version, but there is none. should i just buy it again?",5,positive,2,long,2,268,cellphones
"arrived on time, great price, have used rem oil for years and love it.will buy again from interstate arms.",5,positive,2,short,0,19,sports
"this is a great little usb charger for the price. but i bought it specifically for the ipad. it would only charge my ipad while it was sleeping. i have many other devices that charge via usb, so i'll be keeping this one since it's got the 2 slots, but i'll be getting a different one just for the ipad.",3,neutral,1,medium,1,60,cellphones
this ring is a great alternative to a traditional frisbee. it's easier to catch and travels even farther! this pro ring is excellent for little kids too since they seem to have less trouble throwing it than with a regular frisbee.,5,positive,2,medium,1,41,sports
"slides on belt for easy access. good velcro closures, adjustable from 38 wadcutters to 357 fmjs. soft black cloth is flexible and not very obvious.",5,positive,2,short,0,25,sports
"ordered this to put in my expedition soft side cooler. i like to carry drinks and water when i go to work. working with the cooler it keeps my drinks cold late in the day and they are still cool enough to drink into the evening. after only a few months, the money saved from taking my own drinks has paid for itself.",5,positive,2,medium,1,63,sports
"i really like these picks. they are nice looking, and really come in handy when eating crab legs. not going to feel sorry if you buy these.",5,positive,2,short,0,27,home
heats evenly. can get 4 small pancakes on the griddle at once. they turned out beautifully. it is heavy but i would buy again.,5,positive,2,short,0,24,sports
when i get a new expensive phone i want to ensure i have all the protection i need so i go crazy and buy all i think i need . good product. buy it.,5,positive,2,short,0,34,cellphones
they are very easy to hold. i have arthritis in my hands and find these are quite comfortable to use.,5,positive,2,short,0,20,home
"this is a good machine for people who have tendinosis or arthritis in the knee joint. often, people with osteoarthritis are also overweight. losing excess weight can really help with the pain and inflammation because the knee is a weight bearing joint. even to begin to lose a few extra pounds...takes pressure off the joint. to lose weight effectively, some regular exercise is needed. this machine allow you to get some cardio exercise without stressing the joint. although, it is probably still a good ideal to ice the joint down after working out...ice until numb if inflammation is a problem... this machine does help tone biceps brachii, triceps, anterior deltoid, pectoralis major and the lateral fibers of trapezius, but it is definitely not the most effective choice to use. to achieve muscle tone and definition for those that have knee problems, it would be better to work those muscle while seated with free weight. this machine is excellent for the gluts..all of those muscles. it has a much more effective action than the treadmill for the g max group because you can really extend the leg. notice that tony little has a very nicely developed tush. one last note, it is still a good to flex the knee if you have arthritis, but you can do that seated because you have more leverage and control over your range of motion. it can be a real challenge to workout when you have knee pain, but this machine can help you do just that.",4,positive,2,long,2,252,sports
"prior to recently i did not have much experience with potato ricers but when reading about different gnocchi techniques they were regularly mentioned as providing smooth and even potatoes and other vegetables of the like. i was a bit hesitant to purchase something that seemingly accomplished one task...mashing, which is something i have been able to do with a masher or a mixer. regardless i took the plunge and i must say it has been a worthwhile purchase.this ricer produces consistently smooth potatoes. i have also used it with sweet potatoes, acorn squash, squeezing liquid from spinach and grated jalapeno and to juice lemons. it has done all of these effortlessly and consistently.i find myself using it at least once a week while preparing dinner, often times just to make mashed potatoes for one. it allows me to make what was once a relatively involved side dish in under two minutes of active kitchen work.i plan on gifting a few of these in the coming months.",4,positive,2,long,2,166,home
this cover makes an old phone look and feel new. i like that i can order covers for little money and snazzy up my phone.,4,positive,2,short,0,25,cellphones
love this kit. works as designed perfectly. i keep it in my range pack. it is compact yet holds all you need to maintain your firearm s . perfect for field and home use. all components are superior in quality and easy to use. i have shown others how easy this kit is to use. bought and gave two of them as gifts. highly recommend this product.,5,positive,2,medium,1,67,sports
i love that's it's slightly clear so i can still see the white phone. it fits snug and is not bulky.,5,positive,2,short,0,21,cellphones
"oxo's good grips 6 piece measuring cup set are not the best looking rather large, bulky, and black , but i guess they do measure well enough. when i first received these my first impression was that they were as ugly as could be. like i said, very bulky and they just stand out...in a bad way. they were replacing a stainless steel set i have, which take up much less room and just look ten times better. these are made of very thick plastic. however, the clip is a nice feature. it keeps them together when not in use and you can easily dettached one when needed. the slanted cups also help in getting the ingredients out of the cups, but it's not a huge improvement.",3,neutral,1,long,2,127,home
can not live with out this if you do any canning. have a old one and got this one so my daughter has one she is starting to take interest in canning recommend,5,positive,2,short,0,33,home
"pros two pack of belts, good value useful to have a pack around if belt breaks normally your belt only breaks if your vacuum gets stuck on some rug or sofa clothnothing else to say really, two pack of a vacuum belt at a good price!",5,positive,2,medium,1,46,home
i recommend a bore snake for any regular shooter. one pass through while your gun barrel is still warm and clean up at home is much much easier. i've only ever had one rip on me and that is because it was super old.,5,positive,2,medium,1,44,sports
"i've been making homemade ice cream since 1985 when i got my waring ice cream parlor machine and the ben jerry book as a birthday present. twenty five years later, i donated the waring machine because i no longer had the patience to bother with all that sloppy ice cube salty mess! machine still worked donated it to my church . i did tons of online research and hands down, this machine got top ratings no matter what site i visited. some places offer a 2nd bowl for an additional price but i knew i wouldn't need that much ice cream. very quiet and made the 2nd batch of peach ice cream in record time set timer for 30 minutes, it was done in 18 minutes! easy to clean, very small to store bowl is kept permanently in deep freeze at 0 degrees.note the miniscule cuisinart recipe book that comes with this states that the bowl will be frozen within 6 12 hours. don't believe it, we did and almost returned the machine! i checked the canister after 10 hours and it didn't slosh one bit, but after one hour of processing the cream mixture, it was no more frozen than the equator! saved the cream mixture to try the next day froze it for 24 hours, and as i said above, it made a batch in 18 minutes, flat.i've also noticed that although it says generous 1.5 quart size my recipe for 1 quart of ice cream came so close to the top of the dasher that it actually flowed over a bit. so, i'm going to use slightly less than 1 cup measurements for the liquids when i make the next batches to avoid this problem.so far we've made peach, strawberry and banana ice cream. try using a high quality buttermilk for 1 cup of the liquid it's low calorie and adds a nice twang to the end result.",5,positive,2,long,2,321,home
great bat. just like the one i had when i was a kid. terrific training tool which helps to develop hand eye coordination. saves your kids from the bumps and bruises of learning to hit a ball. saves you form broken windows and dents in the cars.,5,positive,2,medium,1,47,sports
"i bought these for very cheap thinking that they would last a little while and then i would go out ansd spend some real money on headphones...... well, i have had these for i think over a year now and they still work great! i use them mainly for talking on the phone while driving and have been told people don't even notice i'm using them. i still have two pairs only because i threw one pair in a fit of rage and they work perfectly. the sound quality for music isn't great but if you want good sound quality, you're going to have to spend some money.overall, these are great headphones and i would highly recommend.",5,positive,2,long,2,117,cellphones
"this is a good blue tooth. i can hear great with this product. my husband had a problem with it, that is wasn't load enough for him. he drives truck. just a little bulky for my taste. this is the first blue tooth i had when i got my first blue tooth compatible phone. had lots of them.the only draw back is. they only lasted about six months and we had to get new one. and the product does pick up allot of background noise. but it does work well. would recommend this to others.",4,positive,2,long,2,95,cellphones
"it feels cheap, like the coleman products made in china. the metal is thin and i fear it wont last more than a couple seasons. it does work fantastically as a lantern holder, but standing over the heat of a fire is going to wear on it quickly.",3,neutral,1,medium,1,48,sports
"i have carried the swiss card in my wallet for nearly 13 years and the tools work just as well as day one. the no nonsense tools are practically designed and seem to help me out daily. i use find use for atleast one of these tools daily the blade, scissor, pen and straight pin. the remaining nail file, screwdriver, tooth pick, ruler and tweezer do get use but a little less frequently.the design is probably most convenient of all. about 3x the thickness of a credit card, you can put it in your wallet and forget about it. and tsa does too...i have never been stopped!i bought this second card as a replacement to my first one as the case of the first one was disintegrating with years of use and being bent over in my back pocket. it was still functional but was looking tardy. this newly designed case does not have any moving parts and seems to be a little more robust that previous cases. looks like they re designed to ensure that the case does not crack while in the back pocket wallet.the great thing about victorinox products is that they are high quality and built to last. the sharpness on the blade persists even after years of use lasting sharpness on a blade edge is a victorinox trade secret.one of the few products that has a 5 star rating from me and it rightly deserves it. if you can buy sub 20 dollars, it is a steal, but even worth it at 25 bucks.",5,positive,2,long,2,259,sports
"this made in china whistle is loud, and floats. not much more to add. as noted, the lanyard could be longer, but some paracord will fix that. the lanyard is crimped under the yellow float, so changing it out is probably too much trouble. we'll see about durability.",4,positive,2,medium,1,48,sports
this seems to be heavier than some of the shimano rods that i have purchased recently. i will probably use it more for bottom fishing and less for casting.,5,positive,2,short,0,29,sports
"awesome cover for a gorgeous phone. i have a htc one in blue and needed a good cover while actually showing off the blue beauty. this cover does it all. i kind of wished it to be clear on the back too rather than the frosting which make a good design because my blue htc still somewhat hides in it. other than that, for the price, it's got a great grip, and a sturdy feeling. i love boxwave for all its extraordinary accessories. you can never go wrong with this purchase!",5,positive,2,long,2,91,cellphones
i ordered this to use with non stick sauce pans. it was perfect for my application. i am very pleased with the purchase.,5,positive,2,short,0,23,home
charged my phone to 100 and is convenient when you don't have your charger with you or an outlet nearby.,5,positive,2,short,0,20,cellphones
no issues with these cables and iphone 4s. worked well for charging any syncing. also worked on ipad and iphone 4,5,positive,2,short,0,21,cellphones
"the light works exactly as expected. as long as you are using your headset then the light will indicate that you are on the phone. i do wish that the lights were a little brighter, or possibly multicolored. we have an individual in the office that is color blind to red, so that would have been a nice touch.also for obvious reasons, if you are using your handset, this light is not on. i wish that the lifter had a feature that recognized when the handset was lifted by hand. but that is a wish, not a product defect.overall, i am happy with this device.",4,positive,2,long,2,105,cellphones
"being new to shooting using a scope i have found this one to be simple, rugged and easy to adjust . i have it on a ruger american in 308 and once i used a little loc tight i have no worry about it moving . my only complaint if you could even call it that was there were no scope rings included with the scope . but with this set up shooting off a bench i have a .75 to 1 moa rifle with the right ammo so for the price i can not complain .",5,positive,2,long,2,97,sports
