query_index,query_review,query_true_sentiment,query_true_length,predicted_sentiment,predicted_length,top_1_similarity,top_1_review,top_1_sentiment,top_1_category
10,"i recently started swimming as an adult. chlorine bothers my eyes a great deal, and i asked my swimming teacher to recommend a good pair of goggles. he recommended speedo hydrospex. i immediately went for the adult size, but he explained that the most important aspect of a good fit was the sizing and shape of the eye cups, particularly if you have a narrower face. we then tried on all three sizes speedo makes, starting with the smallest for children. they were clearly too small, and we moved on to these, the junior hydrospex classics, which i also expected to be too small. i was wrong. they were a perfect fit for the geometry of my face. the adult goggles were ok but a tad too large and i think i would have had much more leaking with them.despite being an adult, i fit the junior hydrospex perfectly, and i am grateful to my instructor for having me test fit these. the moral of the story is clear if at all possible try on the goggles you're looking at before buying as you could be surprised about what fits best.i got the clear goggles i tried the tinted ones and they were too dark for my preference and have had no problems with leaking or fogging. they are comfortable and keep my eyes mercifully free of chlorine. i have been swimming with them twice a week for a few months now, and they are holding up well so far. i highly recommend speedo hydrospex classics to anyone doing a lot of swimming just make sure you get the right size for your face.",positive,long,negative,long,0.9930379390716553,"i just got this phone as a replacement for my curve 8300. boy, was i impressed. it runs fast, keeps up with my typing you can do most anything on this phone. email set up is a breeze i love using the custom ringtones for people in my address book. you can easily create your own wallpaper songs for it and upload without confusion.the downsides are no video and i detest that the memory card is behind the battery, making it take forever to power down and access. beware, this phone takes awhile to boot up, but once it gets going, it's fantastic.i've read that the usb connections go bad on these phones and when my blackberry curve 8300 stopped charging, i believed it. but i loved it so much, i bought another. i checked out the new bold but was unimpressed by it's bulky size and the flat keyboard makes it hard to type this phone is much better!",positive,cellphones
11,"this is a great pastry bench scraper. i primarily use mine for cutting gnocchi, and it does a great job.pros keeps its edge stainless steel easy to clean comfortable handle includes measurement marking they are engraved on the blade which is very handy they will never rub off!cons none",positive,medium,positive,medium,0.9788233637809753,"i got this to seal my pop up tent camper. i was concerned whether a gallon would be enough, luckily i had a little left over so i could do touch ups if i need to. i used a pump sprayer and it went on nice and easy. the water and dirt repellency is as great as i was hoping for.",positive,sports
12,"this has been such a handy tool. it's sturdy, not flimsy. the handle is solid and easy to grip i really like that the measurement numbers are engraved etched permanently and not just painted on. the blade itself, doesn't flex or bend at all, but is thick and sturdy. i love to use it for clearing the counter of flour and whatnot after rolling or kneading baking items, scooping up mounds of chopped things to toss them into pans or bowls, cut brownies evenly sized, unstick dried bits off the counter or steel pans, and much more. it pretty much does it all!! be sure to purchase a few to add to bridal shower gifts, too!",positive,long,positive,long,0.9916025400161743,"this was my first pressure cooker. i bought it because it was cheap and be easy to operate. it was both of these and more. i learned to cook with this aluminum cooker, how to gauge time and amounts of water etc. mirro has been around forever and replacement parts are readily available for all their cookers. as with all aluminum pressure cookers, the metal will react with some foods and can overheat if you are not careful. this style cooker has the jiggler valve on the top that rocks back and forth and hisses when pressure builds. personally, i like this as it provides audible and visual feedback as to what is going on inside. you can go in the next room and still hear the hissing and know everything is going well.this and all modern cookers are very safe if you follow directions. i was afraid of pressure cookers most of my life and this inexpensive one has soothed my fears. it comes with a heat diffuser disk that sits on the bottom of the cooker and a nice instruction recipe book.you can't go wrong with this, especially if you are a novice who does not want to spend big bucks on the electric cookers or expensive swiss ones. it does the job and does it well.",positive,home
13,"i bought this primarily for the headphones rather than the hands free aspect, so this relates to the headphones. they sound much better than i had anticipated, and i would recommend this for anyone with a compatable lg phone.i used the hands free a couple of times and it works reasonably well, but does pick up enough outside wind noise to make it not practical on moderately to very windy days.",positive,medium,negative,medium,0.9685702919960022,"otis offers a dozen of these kits, but this is the one to get. covers nearly all calibers. just buy this and add the little specialty tools that come in other packages ar bolt cleaning tool for example . obviously they are aware of this as the kits now cost 15 more than when i purchased this last one. at the current price, buying from amazon is not that great a deal.",positive,sports
14,"the tip is waaaaay too big for what i was wanting.. not sure what this would be needed for, i got for a phone, maybe a tablet?",neutral,short,negative,short,0.9881131649017334,this was a big hit with one of my daughters for christmas. it was by special request and now she would not be without the spinner.,positive,home
15,"i received the product today. it's okay and i'll order another one later on to alter it to the first one to hold 40 rounds instead of 20. all in all its really cool, and i recommend it to all hunters!!!!!!!!!!!!!!!",positive,medium,positive,medium,0.9447219371795654,"many relatives have tried to steal these already! i got 2 and both are great, they also work great for chopping have not had to sharpen yet !! cuts chicken well to, the sharp edge really let you get under the dough without tearing it",positive,home
16,"i have bad knees. they often hurt a lot and i have a hard time walking for long periods of time. i saw the doctor and to avoid a long and unnecessary story, therapeutic exercise was the best suggestion. i compromised on what exercises i was willing to do i was given a list of knee exercises 3 pages long and selected four.i already exercise so i added the four knee exercises to my lower body days. i use only one band the red one to basically move each leg in all four directions, exercising the muscles around my knees. my knees have been much better.another ankle band would have been nice. i had to buy one from another vendor. switching the hook from one band to the other is much faster than taking off the cuff and placing it on my other ankle constantly.i like the bands and they are a great price. i recommend them to anyone. i just haven't used them for enough different exercises to know how well they work for other things.",positive,long,negative,long,0.9940423965454102,"seems like bluetooth headsets are a very subjective experience. i have a treo 700p and i tried a number of different bt headsets before i settled on the hs850. i have no problems pairing with my phone and it fits my ear just fine. what sold me on this particular headset was the outgoing sound quality. my wife, mother, and paralegal all report that this is the best sounding headset i have had. it does a good job of avoiding background noise. i previously had the jabra jx 10 and despite good reviews from others, i found the outgoing sound quality low when there was any background noise. the only criticism i have of the hs 850 is that the incoming sound could be louder.",positive,cellphones
17,"like the title says, if you prep the gun metal properly with a good acetone clean of the area, this product will work wonders.creates a visible chemical reaction, and you can do multiple coats to achieve a deeper colored blueing to match the rest of the metal, if need be.",positive,medium,negative,medium,0.9699783325195312,"bought this with the unit that converts your desk phone to a bluetooth compatible headset best buy for the money! i talk on the phone most of the day when in the office, and use both the desk line and my cell phone. the system allows me to use the same headset for both. good battery life.",positive,cellphones
18,it cuts pizza very nicely and is a good size. it is also dish washer safe. 10 out of 10,positive,short,positive,short,0.9912400245666504,great knife for the money. i recommend this to anyone. tightest lockup i've ever seen and a grippy handle. buy it.,positive,sports
19,"don't buy it. i have been wearing it one month and already de area of the belt is cracked. i liked the shape, model, for my s4 with zerolemon super battery. but as i said don't last if you use it each day.",negative,medium,negative,medium,0.9695361852645874,i have had 2 of these in 6 years. work like a charm. problem is that the white plastic ring cracks and eventually breaks. i would gladly pay 50 more for the same design if it would last longer.,neutral,home
20,makes quick work of cleaning the rifle bore on my smith and wesson m p 15. follow the directions and clean it with soap and water afterward and let it dry.,positive,short,positive,short,0.9796974062919617,it works pretty good and i can walk away from my phone and it is still clear. it does become a bit uncomfortable on the ear with long periods of wear.,positive,cellphones
21,"i bought this for my sister that walks our dog late at night sometimes and the horn is very loud as i had her to test it. it does what it claims to do and the service was very fast delivery. i like that you can buy refills for the horn as i will making a purchase again from this seller a . great price, fast delivery, and exceeds my expectations. be sure to cover you own ears too.",positive,long,negative,medium,0.9755996465682983,i bought this for my wife's bike because i am very happy with a similar unit from schwinn i bought for mine last year. unfortunately on this one the latch that holds the head unit to the handlebar mount is very weak and the unit will come off all too easily. sometimes it works loose while riding. fortunately when that happens you will see the speedo stop working and you have time to get it secured before it drops off completely.,negative,sports
22,"this is an absolutely perfect size. it is not so big that you won't find a place to store it, but large enough to hold a bunch of angel hair pasta that would slip right out of the little holes in a traditional colander. it also fits over the sink so that i can pour the pasta or whatever i'm draining right into it, water and all, and have the water drain into the sink.it doesn't say in the description, but this is a double weave strainer. in other words, there are two layers of thin metal mesh to ensure even the smallest seeds and particles are caught in the net.it has a traditional soft black rubber oxo handle, too. this is important when using it over the sink as it keeps it from slipping around when the water hits it.nice!",positive,long,negative,long,0.9944797158241272,"i bought this headset for probably the same reason most people did, the price. for 30 bucks and from a reliable company you can't go wrong. i got what i paid for. the sound quality and the mic quality are both decent, enough at least for someone who isn't obsessive about how crystal clear the reception is. it has a tendency to drop the connection sometimes for no apparent reason, annoying at times, but not very common.about a month after use, it stopped working for no explicit reason. i sent it back and got a replacement from motorola. however only a month or so after that, i seemed to have misplaced it, and had pretty much thought it was lost.today, about a month and a half later, i found it, in my dryer. apparently it had been in the pocket of one of my jeans that i hadn't washed for a while and it went through a whole wash and dry cycle. happy that i found it, but i all but gave up on it to work again. i gave it a shot anyway, and lo and behold, it did start charging. so after an hour i tried pairing it with my phone, and voila, it still works! i was stunned. not only that a bluetooth headset could go through that abuse and still function like new, but a headset that seems relatively cheap and outdated!so based on my first experience it was a 2, but any piece of electronic equipment that can survive a wash and dry has to get two more stars in my book. reliable, and saved me from shelling out more money for a more expensive replacement. it gets the job done.",positive,cellphones
23,before buying this set i searched a lot and did read a lot of reviews and finally i chose to go with this set. the screwdrivers are very easy to use specially with iphones.i had to change the batterry on my iphone and if stanley screwdriver set was not there i was about to break my iphone.thanks for making this set so helpful and easy to use.,positive,medium,positive,medium,0.9804394841194153,"i have purchased several types of whisks in the past year, and this by far is my favorite. it is very well made, feels sturdy in the hand. the grip is padded and thick enough to get a good hold on it, causing much less fatigue during use. i have had multiple surgeries on my hands, yet i find this whisk very easy to use.",positive,home
24,"unlike most can openers, which threaten to slice your finger off open while you're using them, this one is easy to turn and easy to grip, with no sharp metal bits. so it works much better than any other can opener. you might pay more now, but it seems like this one will last much longer than the easily rusted, cheap metal ones i've had before.",positive,medium,positive,medium,0.973687469959259,i've used the reel several times now and it really makes one handed casting easy once you get the hang of it. it's my 34 go to 34 reel. i caught a 5 foot hammerhead shark on it. i released the shark as i was in a 9 foot inflatable! it did the job with 15 lb. braided power pro line. i love this reel!,positive,sports
25,after reading some good reviews on a car forum i bought this for my mercedes that had mb text seats. its basically mercedes version of vinyl seats. i spray this on my seats and wipe it off to keep them looking new. this does not make it glossy shiny . it gives it a nice crisp clean look. i also use it on my dash and every part of the interior except the glass and lcd screens. highly reccommend for any car owners. the price is reasonable.,positive,long,negative,long,0.9847431778907776,"the packaging for this indicates the ability to boost signals up to 1500 feet. i purchased this for use in my home and found that it would not work for my application. i called wilson electronics for technical assistance. they were very good at helping me troubleshoot my issues. ultimately, we determined it would not work for me and i returned it.the unit comes with a directional antenna. it would not work for me because there is a large hill between my home and the nearest cell tower 1.7 miles away. the signal bounces into my location and is very weak. this type of situation calls for an omnidirectional antenna.given the weakness of the signal, we determined the amp would not be powerful enough to provide a useful boost. i would need to purchase on many times the cost of this dt to see a usable signal.in addition, the useful distance of the small desktop antenna provided with this booster is only useful within a few feet. ideally, it will provide signal within close proximity of your desk for a single room in your home but nowhere near what would be required to provide signal to an entire floor of your home for example. this information came from a very honest and helpful tech support person at wilson.i returned this unit and have opted not to purchase another since the appropriate booster for my home would cost thousands.",negative,cellphones
26,i love this bench scraper. it is both sturdy and tough! it works a million times better than my old one. it is a bit expensive but i think it is worth the money.,positive,short,positive,short,0.9824983477592468,"wife bought a ruger lc380 and once set it did stick on first couple rounds, but then worked very well. she likes it way better than hurting her fingers. great buy for this magazine.",positive,sports
27,"mine leaked during shipment, and caused a lot of oil spill in my box, the books that i ordered had oil stains in them now.other than that, the product is great would order it again, although how do i tell amazon to check if there's a spill, when that usually happens during transit.the plastic container holds nicely. so no real complaints other than the gun conditioner container.i also ordered the one for 9mm cleaning, but that one arrived perfectly.",positive,long,negative,long,0.9787042140960693,"years, and years ago my daddy who was a fantastic gardener gave me a fantastic salad spinner, but after many, many spins it gave out. i bought at least three spinners after that all went to the dump. cook's ilustrated test kitchen recommended the oxo salad spinner and i love cook's for their testing they really are the consumer reports of the cooking world and it lived up to their ratings. i expect to have this spinner working for me the rest of my life.",positive,home
28,"this little product is awesome !!i use it with my unlocked nokia 95 3 and nokia 800 internet tablet to charge them from my apple macbook. it charges even when it is in sleep mode.it is tiny and extremely convenient.the price is high, but for the convenience and function it provides it is worth it. i was not able to find any cheaper similar products offered by third parties. this is the real thing from nokia.i now no longer need to carry any bulky, ugly, power bricks with me to keep charged up. all i need is this little gem. very nice nokia !",positive,long,negative,long,0.9894782900810242,"pros i love the fit. very balanced and hard to lose while working out. a big plus over the motorola h700 i had before that was always falling off. this is significant because this is a replacement for the h700 i lost jogging in the rain. outbound voice quality is reported superior to my old motorola by my friends. incoming sound is as good as the motorola and actually a bit better when you account for the fit to ear seal.cons claims of 6 hours of talk time are greatly inflated. more like 3 right off the charger. this is a problem. now i need a car charger for it. too many buttons and not intuitive. not responsive sometimes to commands. sluggish switching. the ear pieces cost you a certain amount of ambient hearing of your environment. whatever size you use, it still really cuts down on your hearing of the world around you on that side. compared to the floppy motorola, this is extreme. the motorola had no impact on hearing that i would notice.the talk time is my biggest complaint. the rest is just nitpicking.",neutral,cellphones
29,"it is silky smooth. click in and click out easily. on sketchy section, you could un clip for quick bailout and still have a platform to stand on or pedal but i do not recommend that . pedal is not level. you will feel the clip in the middle with sneakers. also, you could also pedal on uphill restart without immediately click in. not for beginner. beginner should use flat pedal to learn the cycling skill. learning clip and unclip with other skills at the same time is too much too ask. i found out the hard way. you get nervous click in on sketchy sections. you tighten up naturally. you will crash the section you could have clear otherwise.otherwise, it is sweet.",positive,long,negative,long,0.9905062913894653,"i agonized over these two items before picking the plantronics 925.why jawbone is better in my opinion 1 better noise canceling capability if there is some turbulence in the air, you can hear it with the 925 but not jawbone . 2 more masculine design though the 925 black version is slightly more masculine, the overall design looks like a hair pin. the gold cerise designs gear toward the female fashionistas . 3 cheaper by a few bucks if you shop around .why plantronics 925 is better in my opinion 1 smaller, lighter, fits nicely in your ear. 2 gel ear tip works very well. doesn't feel insecure like the jawbone. i have free range of movement without feeling like it's going to fall off. 3 ambidextrous can change from right to left ear without adjustment unlike jawbone . 4 the charging case provides extra juice on the run however, it looks girly sincerest apology to the female readers . the micro usb port is an inconvenience as you cannot use your standard usb charging cable and i have many of those around the house already . 5 very fast syncing. 6 audio quality of the 925 and jawbone is superior compared to their peers. 7 distinct design. some of my friends already have the jawbone, but none has the plantronics 925 yet.0 0 0 0 0 0after three months' use very light weight. comfortable. hardly feel in your ear s at all. good volume. there is a useful function where you can re establish bt connectivity after answering call by pressing talk button on the phone rather than the headset, allow easy re connection if you accidentally answer the call using the phone and not the headset, especially on the road. headset battery runs out after 2 of non use. the recharger holder is nice but i don't use ever after 2 months. a hassle to carry insert remove. only useful if you go on a 2 3 day trip to the boondocks. i dropped it once from 3 ft height. got scratched. but still works.",positive,cellphones
30,"this case is works and is cheap so i am still giving it a few stars, but i feel it is a little bit of tricky advertising and the item is not as one would expect.when you scrutinize the description it does state brushed aluminum back cover which i took to mean the cover is aluminum. what it truly means is that the case is clear plastic and a little brushed aluminum plate has been glued only to the back. in the picture it appears the entire case is aluminum which is what i really wanted, but not so. the case is clear plastic all around the sides and only metal on back. i'm not sure what the purpose of making only the back aluminum except to keep it low cost, but as anyone purchasing this is probably expecting a metal case it is a let down over all.p.s. the case is slippery.",neutral,long,negative,long,0.9937041401863098,"the material and craftsmanship while poor, performs adequately well and is of a more than reasonable price. with a generic strap, cheap split ring and cap, much to my surprise that the lobster clasps just by themselves are worth the price. i recently just bought 10 lobster clasps for 4 ish and were of terrible quality. just pulling on the lever would risk breaking the entire thing. for half the price, i got much better set of clasps as well as the bonus of the straps i needed.going by the picture and description, i did not expect these clasps to come with, so i'm not only satisfied, but just very may buy another 10.i used the straps to string charms to my psp and 3ds.",positive,cellphones
31,this is a great product. works just like the name brand product. haven't had no problem with the product. and the price is allot better than the name brand one. why pay for the name when you have a product like this. would recommend this product to everyone.,positive,medium,negative,medium,0.9708234667778015,"love this compact headset. fits well on my ear, very comfortable. mic picks up well, clear voice coming through. very pleased with this purchase going to get some spares for sure. feels like a solid build so should be durable.",positive,cellphones
32,the motorola h500 is a very good unit. it has excellent sound quality and is easy to operate. the only negative thing is it does hurt the ear after wearing it for awhile.,positive,short,positive,short,0.9791520237922668,makes opening cans so easy.....the handle is very comfortable and the can opener just snaps right onto the cans....i like this way better than an electric can opener!,positive,home
33,this knife was a great buy. i use it for small tasks and whittling. it arrived fast. it was sharp and great quality. as always victorinox has made an excellent pocket knife.,positive,short,positive,short,0.9895145893096924,"this is all about design. great form, great function make this set perfect for our kitchen. no aluminum here, this is easily maintained and safe to use. it works well.",positive,home
